,0,1,2,3,4,5,6,7,8
0,14623,0,545,2017-04-09,2018-10-06,1,0,PT,1
1,7862,1,409,2017-08-29,2018-10-12,2,0,PT,1
2,3138,1,816,2016-07-17,2018-10-11,3,0,EN,1
3,5548,1,1936,2013-06-23,2018-10-11,4,0,EN,1
4,213931993,0,2359,2012-04-27,2018-10-12,5,0,EN,0
5,1077,1,1063,2015-11-11,2018-10-09,6,0,EN,1
6,68796,1,1451,2014-10-22,2018-10-12,7,0,EN,1
7,362,0,1635,2014-03-11,2018-09-01,8,0,EN,0
8,3127828,1,1346,2015-02-04,2018-10-12,9,0,EN,0
9,4296,1,1287,2015-03-22,2018-09-29,10,0,EN,0
10,14862,0,1357,2015-01-24,2018-10-12,11,0,EN,1
11,21557,1,2632,2011-07-29,2018-10-12,12,0,EN,1
12,279326,0,1435,2014-11-07,2018-10-12,13,0,EN,0
13,4037,1,1435,2014-11-07,2018-10-12,14,0,EN,1
14,2177,1,1459,2014-10-10,2018-10-08,15,0,EN,1
15,3633,0,2144,2012-11-14,2018-09-28,16,0,EN,1
16,115742,1,1593,2014-06-02,2018-10-12,17,0,EN,1
17,1023,1,2231,2012-06-15,2018-07-25,18,0,EN,0
18,8954,1,2235,2012-08-29,2018-10-12,19,0,ZH,0
19,31522942,1,3332,2009-08-28,2018-10-12,20,0,ZH,0
20,368912220,0,2379,2012-04-07,2018-10-12,21,0,EN,0
21,4435,0,1892,2013-08-06,2018-10-11,22,0,EN,1
22,22490,1,927,2016-03-29,2018-10-12,23,0,DE,1
23,11440,0,1843,2013-09-25,2018-10-12,24,0,DE,1
24,5152,0,2075,2013-02-05,2018-10-12,25,0,EN,1
25,114463,0,1251,2015-05-10,2018-10-12,26,0,EN,1
26,219921,1,3046,2010-06-10,2018-10-12,27,0,EN,0
27,522863,0,2799,2011-02-12,2018-10-12,28,0,EN,0
28,232807,0,2090,2013-01-21,2018-10-12,29,0,EN,0
29,5461665,1,2421,2012-02-25,2018-10-12,30,0,EN,1
30,1163309,0,2279,2012-07-16,2018-10-12,31,0,FR,0
31,14366,0,1809,2013-10-28,2018-10-11,32,0,FR,1
32,10941766,1,2386,2012-03-31,2018-10-12,33,0,EN,0
33,16527,1,2510,2011-09-10,2018-07-25,34,0,EN,0
34,6856,1,1775,2013-11-30,2018-10-10,35,0,EN,1
35,23368,1,2709,2011-05-12,2018-10-11,36,0,EN,1
36,269724,0,2437,2012-02-09,2018-10-12,37,0,EN,0
37,17960,1,1508,2014-08-25,2018-10-11,38,0,EN,1
38,9916,1,638,2017-01-12,2018-10-12,39,0,EN,1
39,30998,1,1628,2014-04-28,2018-10-12,40,0,EN,1
40,354065,0,1455,2014-10-18,2018-10-12,41,0,EN,0
41,68733,0,1507,2014-08-27,2018-10-12,42,0,EN,1
42,3087,1,955,2016-03-01,2018-10-12,43,0,EN,1
43,290843,0,1562,2014-07-03,2018-10-12,44,0,SV,0
44,5142,1,2213,2012-05-22,2018-06-13,45,1,EN,0
45,13003233,0,3039,2010-06-17,2018-10-12,46,0,EN,0
46,27675,1,1173,2015-07-27,2018-10-12,47,0,EN,1
47,2539,0,2586,2011-09-09,2018-10-08,48,0,EN,1
48,371,0,211,2018-03-10,2018-10-07,49,0,EN,0
49,56231,1,2199,2012-10-03,2018-10-11,50,0,EN,0
50,1787,0,3031,2010-06-25,2018-10-12,51,0,EN,0
51,1276323,0,1564,2014-07-01,2018-10-12,52,0,EN,0
52,8592,1,1694,2014-02-19,2018-10-10,53,0,EN,1
53,709000,1,2065,2013-02-16,2018-10-13,54,0,EN,0
54,4270,1,1494,2014-08-29,2018-10-01,55,0,EN,1
55,13049,1,3541,2009-01-27,2018-10-08,56,0,EN,1
56,1289,1,1145,2015-08-24,2018-10-12,57,0,EN,0
57,82333,0,1081,2015-10-27,2018-10-12,58,0,EN,1
58,17807,1,1454,2014-10-03,2018-09-26,59,0,EN,1
59,798,1,2356,2012-04-29,2018-10-11,60,0,EN,0
60,194024,0,2196,2012-10-05,2018-10-10,61,0,EN,0
61,2309423,1,1653,2014-04-03,2018-10-12,62,0,EN,0
62,35763,1,2646,2011-07-10,2018-10-07,63,0,EN,0
63,202142952,0,2702,2011-05-20,2018-10-12,64,0,EN,0
64,4647,1,1803,2013-11-03,2018-10-11,65,0,PL,1
65,447545,1,1470,2014-10-03,2018-10-12,66,0,EN,0
66,1032,1,418,2017-07-05,2018-08-27,67,0,EN,1
67,64590161,0,2332,2012-05-24,2018-10-12,68,0,EN,0
68,12113,1,2372,2012-03-13,2018-09-10,69,0,EN,0
69,11363328,0,2020,2013-04-01,2018-10-12,70,0,DE,0
70,925,0,2071,2013-02-08,2018-10-11,71,0,DE,0
71,211371,1,1200,2015-06-30,2018-10-12,72,0,EN,1
72,220922,0,1186,2015-07-14,2018-10-12,73,0,EN,1
73,15893074,0,2003,2013-04-18,2018-10-12,74,0,EN,0
74,542,0,1384,2014-12-11,2018-09-25,75,0,EN,0
75,1325380,1,1237,2015-05-24,2018-10-12,76,0,EN,0
76,679,1,912,2016-04-03,2018-10-02,77,0,EN,0
77,4952,1,2353,2012-04-27,2018-10-06,78,0,PL,0
78,182219,1,2058,2013-02-22,2018-10-12,79,0,EN,1
79,3219,0,981,2016-02-01,2018-10-09,80,0,EN,0
80,703,0,240,2017-11-19,2018-07-17,81,0,PT,0
81,48512491,1,2646,2011-07-15,2018-10-12,82,0,EN,0
82,30427,0,2236,2012-08-28,2018-10-12,83,0,EN,1
83,13803,1,3238,2009-11-30,2018-10-12,84,0,EN,1
84,268479,0,3238,2009-11-30,2018-10-12,85,0,EN,1
85,1675,1,1610,2014-04-13,2018-09-09,86,0,EN,0
86,12505,0,1836,2013-10-02,2018-10-12,87,0,EN,0
87,5760863,0,3530,2009-02-11,2018-10-12,88,0,FR,0
88,2046,0,1714,2014-01-26,2018-10-06,89,0,FR,0
89,10173,1,1525,2014-08-08,2018-10-11,90,0,EN,1
90,1450,1,1280,2015-04-10,2018-10-11,91,0,EN,1
91,1131,0,1290,2015-03-31,2018-10-11,92,0,RU,0
92,6231218,1,1968,2013-05-23,2018-10-12,93,0,RU,0
93,3186,1,1737,2014-01-07,2018-10-10,94,0,EN,1
94,244479,1,1261,2015-04-30,2018-10-12,95,0,EN,0
95,1408761,0,1685,2014-03-02,2018-10-12,96,0,EN,0
96,6926,0,1923,2013-07-07,2018-10-12,97,0,EN,1
97,14533215,0,3516,2009-02-25,2018-10-12,98,0,EN,0
98,1105,0,2821,2010-12-20,2018-09-10,99,0,EN,0
99,761565,1,3246,2009-11-22,2018-10-12,100,0,EN,0
100,2384,1,1779,2013-10-29,2018-09-12,101,0,EN,1
101,158630,0,1482,2014-09-21,2018-10-12,102,0,EN,0
102,16412,1,1944,2013-06-16,2018-10-12,103,0,EN,1
